468175, -0.06, 0.05, -1.02

468195, -0.06, 0.03, -1.02

468215, -0.06, 0.04, -1.03

468235, -0.06, 0.04, -1.03

468255, -0.06, 0.04, -1.02

468275, -0.06, 0.03, -1.03

468295, -0.07, 0.04, -1.02

468315, -0.07, 0.05, -1.04

468335, -0.06, 0.04, -1.02

468355, -0.06, 0.04, -1.03

468375, -0.06, 0.04, -1.03

468395, -0.06, 0.05, -1.02

468415, -0.06, 0.04, -1.02

468434, -0.06, 0.04, -1.03

468454, -0.06, 0.04, -1.03

468475, -0.07, 0.04, -1.03

468495, -0.06, 0.05, -1.02

468515, -0.06, 0.04, -1.03

468535, -0.07, 0.04, -1.04

468555, -0.06, 0.04, -1.03

468574, -0.06, 0.04, -1.02

468594, -0.07, 0.04, -1.02

468614, -0.06, 0.05, -1.03

468635, -0.05, 0.04, -1.02

468655, -0.05, 0.04, -1.04

468675, -0.06, 0.04, -1.02

468694, -0.06, 0.04, -1.02

468714, -0.06, 0.04, -1.02

468734, -0.06, 0.04, -1.04

468754, -0.06, 0.05, -1.02

468775, -0.06, 0.04, -1.02

468795, -0.06, 0.03, -1.02

468814, -0.07, 0.05, -1.03

468834, -0.06, 0.04, -1.03

468854, -0.06, 0.04, -1.03

468874, -0.07, 0.04, -1.02

468894, -0.06, 0.04, -1.02

468914, -0.06, 0.04, -1.03

468935, -0.06, 0.03, -1.03

468954, -0.06, 0.04, -1.04

468974, -0.06, 0.04, -1.03

468994, -0.07, 0.04, -1.02

469014, -0.06, 0.05, -1.02

469034, -0.07, 0.04, -1.03

469054, -0.06, 0.04, -1.03

469074, -0.06, 0.04, -1.03

469094, -0.06, 0.04, -1.02

469114, -0.05, 0.05, -1.02

469134, -0.06, 0.03, -1.04

469154, -0.05, 0.04, -1.02

469174, -0.07, 0.05, -1.04

469194, -0.06, 0.04, -1.02

469214, -0.07, 0.04, -1.03

469234, -0.06, 0.04, -1.03

469254, -0.07, 0.04, -1.03

469274, -0.07, 0.04, -1.02

469294, -0.06, 0.04, -1.02

469314, -0.06, 0.05, -1.02

469333, -0.06, 0.03, -1.03

469354, -0.06, 0.04, -1.03

